Model_Number,Filters,Kernel_Size,Embedding_Dims,Hidden_Dims,Train_Loss,Train_Acc,Valid_Loss,Valid_Acc
0,128,5,128,128,0.02706340581826278,0.9893319833702242,0.05357186582167657,0.9819781501278615
1,128,5,64,128,0.03265943616792535,0.9871686178953447,0.05070647532833831,0.9809441531804518
2,128,5,32,128,0.03545579330107021,0.9860784508548913,0.05178719917103618,0.9806517088317991
3,128,4,128,128,0.026821653717959425,0.9894312088027996,0.051814448686625054,0.981252264457307
4,128,4,64,128,0.0275055104989773,0.989231455686166,0.05480857964721235,0.9814663720657585
5,128,4,32,128,0.03580657923110275,0.9860079455003633,0.04989769052309656,0.9815864819746751
6,128,3,128,128,0.028447487564202886,0.988709217101894,0.05150739567515694,0.9817483752643765
7,128,3,64,128,0.028214600585280126,0.9888893860903137,0.05396485526523825,0.9819363732052582
8,128,3,32,128,0.03444671540534451,0.9864779613613747,0.0526028719590167,0.9807822634709511
9,128,2,128,128,0.03125927044368079,0.9875851017181053,0.0499048684799109,0.9820355940589743
10,128,2,64,128,0.031429566528703934,0.987672574614092,0.0536671929048573,0.9810747125166329
11,128,2,32,128,0.03565260035438691,0.9860262287255479,0.05134831599852666,0.9809232680192099
12,64,5,128,128,0.02915112750915598,0.9888162770135036,0.05196511354632985,0.9820982586043243
13,64,5,64,128,0.032947569535498315,0.9871163958444432,0.05149717326893919,0.9818945946933221
14,64,5,32,128,0.03339660254552164,0.9869688633368743,0.05192657375508914,0.981414154407729
15,64,4,128,128,0.029731744667704844,0.9883279824993504,0.052318626796071216,0.9820251485387416
16,64,4,64,128,0.030665515147279367,0.9881217008307291,0.05383271865153339,0.981194820602766
17,64,4,32,128,0.038388494516331174,0.9849504184295579,0.05079380668187317,0.9813149311522714
18,64,3,128,128,0.03113955824641818,0.9879193337570121,0.052367499542847036,0.9804898234308653
19,64,3,64,128,0.0297053697913957,0.9884180695653343,0.05288142696660308,0.9807195966956795
20,64,3,32,128,0.035851888934300566,0.9860575610797806,0.053673500313096596,0.9800302712367879
21,64,2,128,128,0.027127426064663635,0.9892484263092711,0.05321788171228338,0.9819050416553466
22,64,2,64,128,0.036383809395843694,0.9857703287058952,0.05107788672393791,0.9809232665867561
23,64,2,32,128,0.039548435365455395,0.9845496023695608,0.05169125870698936,0.9805107115298515
